 ,Jylland + Fyn, ,Sjælland + Øer, 
Laveste pris,2026-05-25 14:00:00,-0.29,2026-05-25 14:00:00,-0.04
Højeste pris,2026-05-25 21:00:00,1.68,2026-05-24 20:45:00,1.50
